id;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;city
10278470;41,93405;-87,72993;Shared room;30;4;5;9;263;Chicago
10280979;41,95339;-87,66741;Entire home/apt;125;365;27;1;365;Chicago
10392060;41,91066;-87,68006;Entire home/apt;102;4;96;2;324;Chicago
10411427;41,88302;-87,7096;Private room;39;3;356;9;294;Chicago
10437238;41,8148;-87,59917;Entire home/apt;225;2;54;1;86;Chicago
10487791;41,89404;-87,61599;Entire home/apt;310;3;127;17;344;Chicago
10515185;41,92836;-87,71609;Private room;46;5;8;1;362;Chicago
10518084;41,996;-87,69204;Private room;49;2;48;2;352;Chicago
10548699;41,89452;-87,66561;Entire home/apt;109;3;164;4;351;Chicago
10595206;41,896;-87,6313;Entire home/apt;145;31;1;73;365;Chicago
10629003;41,9168;-87,63941;Entire home/apt;200;2;143;1;174;Chicago
10634059;41,89326;-87,619;Entire home/apt;85;60;0;73;295;Chicago
